"","AMZN","COST","Date"
"678",7.04,61.04,"2010-04-09"
"679",6.74,61.6,"2010-04-08"
"680",6.8,61.65,"2010-04-07"
"681",6.56,61.05,"2010-04-06"
"682",6.64,60.33,"2010-04-05"
"683",6.79,59.73,"2010-04-01"
"684",6.8,60.06,"2010-03-31"
"685",6.79,60.27,"2010-03-30"
"686",6.77,60.14,"2010-03-29"
"687",6.74,60.25,"2010-03-26"
"688",6.46,60.42,"2010-03-25"
"689",6.43,60.54,"2010-03-24"
"690",6.54,60.76,"2010-03-23"
"691",6.51,60.54,"2010-03-22"
"692",6.69,61.38,"2010-03-19"
"693",6.55,61,"2010-03-18"
"694",6.62,60.96,"2010-03-17"
"695",6.56,60.71,"2010-03-16"
"696",6.59,60.07,"2010-03-15"
"697",6.71,59.88,"2010-03-12"
